nx,N,mode,nvtx_range,avg_us,total_us,instances
16,256,naive,force_pin,4.81,485.69,101
16,256,cll,force_pin_cll,3.09,312.50,101
24,576,naive,force_pin,3.01,303.72,101
24,576,cll,force_pin_cll,3.11,314.43,101
32,1024,naive,force_pin,3.01,304.46,101
32,1024,cll,force_pin_cll,3.27,330.60,101
48,2304,naive,force_pin,3.17,320.27,101
48,2304,cll,force_pin_cll,3.58,361.17,101
64,4096,naive,force_pin,3.08,311.26,101
64,4096,cll,force_pin_cll,3.19,321.85,101
96,9216,naive,force_pin,3.92,395.67,101
96,9216,cll,force_pin_cll,3.14,317.36,101
128,16384,naive,force_pin,4.27,431.19,101
128,16384,cll,force_pin_cll,3.42,345.87,101
192,36864,naive,force_pin,3.69,372.59,101
192,36864,cll,force_pin_cll,3.36,339.36,101
256,65536,naive,force_pin,3.21,324.08,101
256,65536,cll,force_pin_cll,4.41,445.71,101
